symbol_id,symbol,timeframe,timeframe_code,eligible,reasons,covered_until,unresolved_rows
41,000688.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
41,000688.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
42,000711.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,199
42,000711.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,27
42,000711.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
42,000711.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
42,000711.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
43,000729.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,59
43,000729.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,17
43,000729.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
43,000729.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
43,000729.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
44,000759.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,110
44,000759.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,24
44,000759.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
44,000759.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
44,000759.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
45,000790.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,112
45,000790.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,21
45,000790.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
45,000790.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
45,000790.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
46,000811.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,96
46,000811.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,41
46,000811.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
46,000811.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
46,000811.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
47,000831.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,36
47,000831.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,17
47,000831.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
47,000831.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
47,000831.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
48,000875.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,104
48,000875.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,27
48,000875.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
48,000875.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
48,000875.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
49,000895.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,52
49,000895.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,14
49,000895.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
49,000895.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
49,000895.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
50,000915.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,89
50,000915.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,28
50,000915.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
50,000915.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
50,000915.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
51,000935.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,80
51,000935.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,22
51,000935.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
51,000935.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
51,000935.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
52,000963.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,116
52,000963.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,17
52,000963.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
52,000963.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
52,000963.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
53,000987.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,86
53,000987.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,23
53,000987.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
53,000987.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
53,000987.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
54,001209.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,29
54,001209.SZ,30f,30,True,,2026-07-03T07:00:00+00:00,0
54,001209.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
54,001209.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
54,001209.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
55,001227.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,8
55,001227.SZ,30f,30,True,,2026-07-03T07:00:00+00:00,0
55,001227.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
55,001227.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
55,001227.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
56,001259.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,18
56,001259.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,1
56,001259.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
56,001259.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
56,001259.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
57,001288.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,31
57,001288.SZ,30f,30,True,,2026-07-03T07:00:00+00:00,0
57,001288.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
57,001288.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
57,001288.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
58,001318.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,12
58,001318.SZ,30f,30,True,,2026-07-03T07:00:00+00:00,0
58,001318.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
58,001318.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
58,001318.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
59,001339.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,3
59,001339.SZ,30f,30,True,,2026-07-03T07:00:00+00:00,0
59,001339.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
59,001339.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
59,001339.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
60,001386.SZ,5f,5,True,,2026-07-03T07:00:00+00:00,0
60,001386.SZ,30f,30,True,,2026-07-03T07:00:00+00:00,0
60,001386.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
60,001386.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
60,001386.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
61,001979.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,28
61,001979.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,12
61,001979.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
61,001979.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
61,001979.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
62,002019.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,53
62,002019.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,14
62,002019.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
62,002019.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
62,002019.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
63,002035.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,103
63,002035.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,45
63,002035.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
63,002035.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
63,002035.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
64,002051.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,101
64,002051.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,25
64,002051.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
64,002051.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
64,002051.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
65,002067.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,119
65,002067.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,28
65,002067.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
65,002067.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
65,002067.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
66,002085.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,116
66,002085.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,42
66,002085.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
66,002085.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
66,002085.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
67,002103.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,196
67,002103.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,33
67,002103.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
67,002103.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
67,002103.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
68,002121.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,94
68,002121.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,30
68,002121.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
68,002121.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
68,002121.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
69,002137.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,109
69,002137.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,37
69,002137.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
69,002137.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
69,002137.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
70,002155.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,28
70,002155.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,18
70,002155.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
70,002155.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
70,002155.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
71,002171.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,85
71,002171.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,31
71,002171.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
71,002171.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
71,002171.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
72,002187.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,202
72,002187.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,41
72,002187.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
72,002187.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
72,002187.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
73,002203.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,93
73,002203.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,38
73,002203.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
73,002203.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
73,002203.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
74,002219.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,152
74,002219.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,32
74,002219.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
74,002219.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
74,002219.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
75,002237.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,48
75,002237.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,16
75,002237.SZ,1d,1440,True,,2026-07-03T07:00:00+00:00,0
75,002237.SZ,1w,10080,True,,2026-07-03T07:00:00+00:00,0
75,002237.SZ,1m,43200,True,,2026-06-30T07:00:00+00:00,0
76,002253.SZ,5f,5,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,115
76,002253.SZ,30f,30,False,unresolved_ambiguous_volume_unit,2026-07-03T07:00:00+00:00,20
